[2017-05-08 10:55:28,735: INFO/MainProcess] sync with worker1@SCAEfileshare
[2017-05-09 12:44:13,062: INFO/MainProcess] Received task: tasks.send_mail[ccd87b4b-be78-4d97-997f-52c010f15ebd]  
[2017-05-09 12:44:13,138: INFO/MainProcess] Received task: tasks.send_mail[02e2f2a2-f72d-4c54-a1ee-f180ae3cf151]  
[2017-05-09 12:44:13,219: INFO/MainProcess] Received task: tasks.send_mail[96bfdaa3-268d-4ab3-92cf-214558447f76]  
[2017-05-09 12:44:13,308: INFO/MainProcess] Received task: tasks.send_mail[ef72d5ab-07db-4da2-9cab-05fe8309b7e3]  
[2017-05-09 12:44:13,385: INFO/MainProcess] Received task: tasks.send_mail[55a8dfac-f388-4061-8c3b-91a3ebb1516b]  
[2017-05-09 12:44:13,461: INFO/MainProcess] Received task: tasks.send_mail[f21273a4-ad55-4c03-ad2e-49ac81cfab74]  
[2017-05-09 12:44:13,539: INFO/MainProcess] Received task: tasks.send_mail[11eda485-d9bf-4fca-80ec-75d67c25a5f7]  
[2017-05-09 12:44:13,619: INFO/MainProcess] Received task: tasks.send_mail[25a026f3-5a85-4171-a681-47b77f7c1124]  
[2017-05-09 12:44:13,694: INFO/MainProcess] Received task: tasks.send_mail[fb40bcb3-2852-4e6e-9264-e6c21a7aaa37]  
[2017-05-09 12:44:13,774: INFO/MainProcess] Received task: tasks.send_mail[e1667569-d3af-4c20-a9ae-f690b8a1531d]  
[2017-05-09 12:44:13,862: INFO/MainProcess] Received task: tasks.send_mail[b01004ca-d8ce-49e1-844f-01ea1b0b352e]  
[2017-05-09 12:44:13,940: INFO/MainProcess] Received task: tasks.send_mail[2b22318f-c8a3-4e19-9c61-4c56d7f7cb62]  
[2017-05-09 12:44:14,018: INFO/MainProcess] Received task: tasks.send_mail[f072254e-21b1-4a03-b9ca-9716d68b5dc6]  
[2017-05-09 12:44:14,098: INFO/MainProcess] Received task: tasks.send_mail[bfa79f97-c5ef-4f44-a75b-922b1b0d9465]  
[2017-05-09 12:44:14,176: INFO/MainProcess] Received task: tasks.send_mail[22c84377-0756-4f53-b581-bb20103c0780]  
